Timestamp,Name of your startup,In which sector does your startup belongs to ?,What are the top challenges your startup is currently facing ?,How would you rate the the ease of accessing government schemes and support ?,Have government schemes helped in improving your startup's access to funding or resources ?,On a scale  of 1 to 5 how would you rate the overall startup ecosystem in Kerala ?,What would you suggest to improve Kerala's startup ecosystem ?,What role do you think government incubators and accelerators have played in your startup's journey ?,What are the key challenges your startup encounters while hiring and retaining skilled talent within Kerala ?,What are the key challenges you face in accessing investors within the Kerala ecosystem?," On a scale of 1-5, how would you rate the availability of skilled labor in Kerala for your startup's needs? ",What are the key advantage of starting a business in Kerala? ,How competitive do you find the startup landscape in Kerala ? ,What emerging trend or technology do you see influencing the startup ecosystem in Kerala over the next few years ? , In your opinion what is the likelihood (in percentage) that a startup will survive in Kerala’s current ecosystem ? ,Is there any specific sector in Kerala that you believe which receive more support or attention compared to other ? ,What is the percentage probability that a startup will receive external funding? 
10/12/2024 12:06:43,WIZYCOM NURTURE PRIVATE LIMITED,Edtech,Market competition,1.0,No,2.0,"More access to funding, Improved networking oppurtunities",Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,2.0,Quality of life,Moderately competitive but growing,Sustainable and green technologies,10-20%,IT/ITes,upto 10%
01/03/2025 00:52:05,sushruta innovations and wellness pvt ltd,HealthTech,"Market competition, Infrastructure issues",3.0,Partially,3.0,Better infrastructure,Crucial support for early stages,"Limited industry exposure, Work culture and migration",Investors hesitant to invest in early-stage startups,3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,40-50%,IT/ITes,20-30%
12/02/2024 18:27:55,Imprint EdTech,Edtech,Hiring talent,4.0,Yes,4.0,"Better infrastructure, Improved networking oppurtunities",Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,5.0,Skilled workforce,Less competetive compared to larger hubs,"Artificial intelligence and machine learning, Blockchain and fintech",10-20%,Fintech,upto 10%
11/07/2024 23:31:59,NUANCED COMPUTING LLP,IT/ITeS,"Hiring talent, Market competition",1.0,Partially,2.0,Others,Access to networks and partnerships,Work culture and migration,Complex procedures or regulations that make it harder to pitch to investors,3.0,Government support & startup ecosystem,Collaborative more than competetive,Sustainable and green technologies,40-50%,Edtech,20-30%
01/22/2025 15:01:23,MEDLYNX SOLUTION PRIVATE LIMITED ,HealthTech,"Access to funding, Hiring talent",3.0,,2.0,"Better infrastructure, Improved networking oppurtunities","Crucial support for early stages, Access to networks and partnerships","Limited industry exposure, Work culture and migration","Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",4.0,"Quality of life, Government support & startup ecosystem",Collaborative more than competetive,"Sustainable and green technologies, Blockchain and fintech",30-40%,Health Tech,20-30%
10/31/2024 20:09:14,Sarvam Business Technology,Artificial Intelligence,"Access to funding, Hiring talent, Infrastructure issues",3.0,No,2.0,"Policy reforms, More access to funding, Better infrastructure","Crucial support for early stages, Access to networks and partnerships","Skill gap and talent shortage, Work culture and migration","Lack of Investor Networks, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,"Skilled workforce, Quality of life, Social infrastructure & connectivity",Highly competitive in certain sectors,Artificial intelligence and machine learning,10-20%,Health Tech,10-20%
12/16/2024 16:07:33,Ayurcradle Private Limited,HealthTech,"Access to funding, Hiring talent, Infrastructure issues",2.0,No,3.0,"Policy reforms, More access to funding","Crucial support for early stages, Boosting credibility and visibility","Skill gap and talent shortage, Limited industry exposure","Lack of Investor Networks, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors",3.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,Artificial intelligence and machine learning,10-20%,IT/ITes,upto 10%
12/08/2024 21:51:45,transvibe global technologies and services pvt ltd,Fintech,"Hiring talent, Market competition",3.0,Partially,3.0,"More access to funding, Better infrastructure",Boosting credibility and visibility,"Skill gap and talent shortage, Retention and competition",Lack of Investor Networks,3.0,Quality of life,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,IT/ITes,30-40%
01/19/2025 13:00:47,STOCKBLAZE LLP,Fintech,"Access to funding, Hiring talent, Market competition, Regulatory hurdles",3.0,Partially,2.0,"Policy reforms, Better infrastructure","Crucial support for early stages, Boosting credibility and visibility","Skill gap and talent shortage, Limited industry exposure","Lack of Investor Networks, Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",2.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,Artificial intelligence and machine learning,10-20%,IT/ITes,upto 10%
01/07/2025 19:42:11,Chisquare Labs,HealthTech,Infrastructure issues,2.0,Partially,3.0,"More access to funding, Improved networking oppurtunities",Crucial support for early stages,Skill gap and talent shortage,"Lack of Investor Networks, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,Social infrastructure & connectivity,Moderately competitive but growing,Artificial intelligence and machine learning,10-20%,Edtech,upto 10%
10/26/2024 08:15:18,SARVAM BUSINESS TECHNOLOGY PRIVATE LIMITED ,Artificial Intelligence,"Market competition, Regulatory hurdles",4.0,Partially,3.0,Others,"Boosting credibility and visibility, Access to networks and partnerships, Limited impact or bureaucratic delays","Limited industry exposure, Work culture and migration","Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors",3.0,"Government support & startup ecosystem, Others",Less competetive compared to larger hubs,"Sustainable and green technologies, Health tech and telemedicine",30-40%,Edtech,20-30%
01/18/2025 03:55:51,MATSAPP INDIA PRIVATE LIMITED ,Others,"Hiring talent, Infrastructure issues",2.0,No,3.0,"Better infrastructure, Others",Access to networks and partnerships,Limited industry exposure,Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai,2.0,Social infrastructure & connectivity,Less competetive compared to larger hubs,"Sustainable and green technologies, Blockchain and fintech",40-50%,Adtech,10-20%
11/25/2024 07:37:56,Frontliners India Pvt Ltd,HealthTech,"Access to funding, Infrastructure issues",4.0,Yes,4.0,"More access to funding, Improved networking oppurtunities","Crucial support for early stages, Limited impact or bureaucratic delays","Skill gap and talent shortage, Retention and competition, Limited industry exposure, Work culture and migration","Investors hesitant to invest in early-stage startups, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",4.0,Skilled workforce,Moderately competitive but growing,"Artificial intelligence and machine learning, Blockchain and fintech",10-20%,IOT,upto 10%
12/28/2024 20:04:15,Innspark solutions pvt ltd,Artificial Intelligence,"Access to funding, Hiring talent",3.0,Partially,3.0,More access to funding,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,IOT,20-30%
09/14/2024 13:02:57,Evelabs Technologies Pvt Ltd,HealthTech,Access to funding,3.0,Partially,3.0,More access to funding,Boosting credibility and visibility,Skill gap and talent shortage,Investors hesitant to invest in early-stage startups,3.0,Government support & startup ecosystem,Highly competitive in certain sectors,Artificial intelligence and machine learning,40-50%,IOT,30-40%
12/31/2024 23:04:52,NUVOVIVO HEALTHCARE SOLUTIONS PRIVATE LIMITED,HealthTech,"Hiring talent, Regulatory hurdles",3.0,Partially,4.0,"Policy reforms, Improved networking oppurtunities","Crucial support for early stages, Limited impact or bureaucratic delays","Skill gap and talent shortage, Retention and competition","Lack of Investor Networks, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai",3.0,Skilled workforce,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Blockchain and fintech",10-20%,Health Tech,10-20%
11/03/2024 03:29:18,Philsa tech solutions llp,Artificial Intelligence,"Access to funding, Hiring talent",3.0,Partially,3.0,More access to funding,Boosting credibility and visibility,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Highly competitive in certain sectors,Artificial intelligence and machine learning,40-50%,IT/ITes,30-40%
01/28/2025 08:11:32,Core AI Scientific Technologies,Artificial Intelligence,"Hiring talent, Infrastructure issues",3.0,Partially,4.0,Better infrastructure,Access to networks and partnerships,"Skill gap and talent shortage, Limited industry exposure, Work culture and migration","Investors hesitant to invest in early-stage startups, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",2.0,Social infrastructure & connectivity,Moderately competitive but growing,"Sustainable and green technologies, Health tech and telemedicine",10-20%,IOT,upto 10%
01/04/2025 04:23:58,skilora innovations pvt ltd,Artificial Intelligence,"Hiring talent, Market competition",3.0,Partially,3.0,"More access to funding, Better infrastructure",Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,IT/ITes,20-30%
10/08/2024 16:08:32,Lann ventures pvt ltd,IOT,"Access to funding, Hiring talent",3.0,Partially,3.0,More access to funding,Crucial support for early stages,"Skill gap and talent shortage, Work culture and migration",Investors hesitant to invest in early-stage startups,3.0,Quality of life,Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,IT/ITes,10-20%
01/21/2025 17:34:31,ANK Lifecare,HealthTech,Access to funding,3.0,Partially,3.0,Better infrastructure,Crucial support for early stages,"Limited industry exposure, Work culture and migration",Lack of Investor Networks,4.0,Skilled workforce,Less competetive compared to larger hubs,Artificial intelligence and machine learning,upto 10%,Edtech,upto 10%
10/22/2024 06:45:39,Wellnexus Technologies,HealthTech,"Access to funding, Hiring talent",4.0,Partially,3.0,Improved networking oppurtunities,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,"Quality of life, Social infrastructure & connectivity",Moderately competitive but growing,"Artificial intelligence and machine learning, Sustainable and green technologies",upto 10%,IT/ITes,upto 10%
09/23/2024 10:36:44,Assistived intelligence pvt ltd,HealthTech,"Hiring talent, Infrastructure issues",4.0,Yes,4.0,More access to funding,Crucial support for early stages,Skill gap and talent shortage,"Lack of Investor Networks, Investors hesitant to invest in early-stage startups",4.0,"Skilled workforce, Quality of life",Moderately competitive but growing,Artificial intelligence and machine learning,upto 10%,IOT,upto 10%
01/30/2025 14:35:31,PAN Skill Connect P Ltd,Artificial Intelligence,Access to funding,4.0,Yes,3.0,"More access to funding, Improved networking oppurtunities",Access to networks and partnerships,Skill gap and talent shortage,"Investors hesitant to invest in early-stage startups, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,"Quality of life, Social infrastructure & connectivity",Less competetive compared to larger hubs,"Artificial intelligence and machine learning, Blockchain and fintech",20-30%,Fintech,upto 10%
11/09/2024 15:15:08,Threestops Private limited,Others,"Access to funding, Hiring talent, Regulatory hurdles, Infrastructure issues",2.0,No,3.0,"Policy reforms, More access to funding, Better infrastructure, Improved networking oppurtunities","Crucial support for early stages, Access to networks and partnerships","Retention and competition, Limited industry exposure, Work culture and migration","Lack of Investor Networks, Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai",2.0,"Government support & startup ecosystem, Social infrastructure & connectivity",Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies, Blockchain and fintech",10-20%,Fintech,10-20%
12/10/2024 08:41:31,Facpool Learning Ventures,Edtech,Access to funding,2.0,No,4.0,Better infrastructure,Crucial support for early stages,Skill gap and talent shortage,Investors hesitant to invest in early-stage startups,3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,10-20%,IOT,upto 10%
01/12/2025 23:57:01,Coslae Private Limited,HealthTech,"Access to funding, Hiring talent, Regulatory hurdles",3.0,Partially,4.0,"Policy reforms, More access to funding, Improved networking oppurtunities","Crucial support for early stages, Boosting credibility and visibility","Retention and competition, Work culture and migration","Lack of Investor Networks, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",3.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,Artificial intelligence and machine learning,10-20%,IT/ITes,10-20%
12/21/2024 18:46:51,triaxon technologies pvt ltd,IOT,"Hiring talent, Market competition",3.0,No,3.0,More access to funding,Crucial support for early stages,"Skill gap and talent shortage, Retention and competition",Investors hesitant to invest in early-stage startups,3.0,Quality of life,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,IT/ITes,30-40%
09/23/2024 09:01:13,Open Financial Technologies Pvt Ltd,Fintech,Access to funding,3.0,Partially,3.0,More access to funding,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Government support & startup ecosystem,Moderately competitive but growing,Artificial intelligence and machine learning,40-50%,IOT,30-40%
11/02/2024 05:16:55,ZEWA FEEDS LLP,Artificial Intelligence,"Access to funding, Infrastructure issues",2.0,No,2.0,"More access to funding, Better infrastructure","Boosting credibility and visibility, Access to networks and partnerships",Skill gap and talent shortage,"Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors",2.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",10-20%,IT/ITes,10-20%
01/11/2025 03:16:14,WISEHOURS PRIVATE LIMITED ,Others,Market competition,3.0,Partially,3.0,Better infrastructure,Limited impact or bureaucratic delays,Limited industry exposure,Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai,3.0,Social infrastructure & connectivity,Collaborative more than competetive,,20-30%,Adtech,20-30%
12/17/2024 18:06:41,School Wizard,Edtech,"Market competition, Infrastructure issues",3.0,No,2.0,"More access to funding, Better infrastructure, Improved networking oppurtunities",,Retention and competition,"Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors",4.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,Artificial intelligence and machine learning,10-20%,IT/ITes,10-20%
10/15/2024 08:10:25,NH66 labs pvt ltd,Edtech,Market competition,3.0,Yes,3.0,Better infrastructure,Crucial support for early stages,Skill gap and talent shortage,Lack of Investor Networks,3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,30-40%,IT/ITes,20-30%
01/27/2025 20:37:26,Signite Technology Pvt Ltd,Others,Hiring talent,3.0,Yes,2.0,"Policy reforms, More access to funding, Improved networking oppurtunities",Limited impact or bureaucratic delays,"Skill gap and talent shortage, Limited industry exposure, Work culture and migration","Lack of Investor Networks, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",1.0,,Less competetive compared to larger hubs,Artificial intelligence and machine learning,upto 10%,,upto 10%
